Time Bucket (America/New_York),Emporia Garage-EV (kWhs)
02/05/2023 00:00:00,19.1741
02/06/2023 00:00:00,0.0000
02/07/2023 00:00:00,0.0000
02/08/2023 00:00:00,26.2342
02/09/2023 00:00:00,18.6339
02/10/2023 00:00:00,0.0000
02/11/2023 00:00:00,35.9104
02/12/2023 00:00:00,3.5222
02/13/2023 00:00:00,0.0000
02/14/2023 00:00:00,3.9086
02/15/2023 00:00:00,0.0000
02/16/2023 00:00:00,0.0000
02/17/2023 00:00:00,0.0000
02/18/2023 00:00:00,28.3892
02/19/2023 00:00:00,14.1802
02/20/2023 00:00:00,0.0000
02/21/2023 00:00:00,0.0000
02/22/2023 00:00:00,0.0000
02/23/2023 00:00:00,0.0000
02/24/2023 00:00:00,0.0000
02/25/2023 00:00:00,19.6019
02/26/2023 00:00:00,33.7156
02/27/2023 00:00:00,22.5846
02/28/2023 00:00:00,0.0000
03/01/2023 00:00:00,0.0000
03/02/2023 00:00:00,39.0842
03/03/2023 00:00:00,0.0000
03/04/2023 00:00:00,0.0000
03/05/2023 00:00:00,0.0000
03/06/2023 00:00:00,0.0000
03/07/2023 00:00:00,34.0598
03/08/2023 00:00:00,22.4028
03/09/2023 00:00:00,0.0000
03/10/2023 00:00:00,0.0000
03/11/2023 00:00:00,0.0000
03/12/2023 00:00:00,50.9595
03/13/2023 00:00:00,0.0000
03/14/2023 00:00:00,0.0000
03/15/2023 00:00:00,32.5605
03/16/2023 00:00:00,14.5189
03/17/2023 00:00:00,0.0000
03/18/2023 00:00:00,0.0000
03/19/2023 00:00:00,44.3925
03/20/2023 00:00:00,0.0000
03/21/2023 00:00:00,0.0000
03/22/2023 00:00:00,0.0000
03/23/2023 00:00:00,28.8456
03/24/2023 00:00:00,0.0000
03/25/2023 00:00:00,0.0000
03/26/2023 00:00:00,0.0000
03/27/2023 00:00:00,0.0000
03/28/2023 00:00:00,0.0000
03/29/2023 00:00:00,0.0000
03/30/2023 00:00:00,0.0000
03/31/2023 00:00:00,35.1714
04/01/2023 00:00:00,0.0582
04/02/2023 00:00:00,0.0000
04/03/2023 00:00:00,0.0000
04/04/2023 00:00:00,0.0000
04/05/2023 00:00:00,14.3399
04/06/2023 00:00:00,19.7617
04/07/2023 00:00:00,43.1245
04/08/2023 00:00:00,0.0000
04/09/2023 00:00:00,0.0000
04/10/2023 00:00:00,0.0000
04/11/2023 00:00:00,0.0000
04/12/2023 00:00:00,40.3520
04/13/2023 00:00:00,0.0000
04/14/2023 00:00:00,0.0000
04/15/2023 00:00:00,37.3074
04/16/2023 00:00:00,0.0000
04/17/2023 00:00:00,21.8319
04/18/2023 00:00:00,20.9931
04/19/2023 00:00:00,0.0000
04/20/2023 00:00:00,0.0000
04/21/2023 00:00:00,0.0000
04/22/2023 00:00:00,0.0000
04/23/2023 00:00:00,0.0000
04/24/2023 00:00:00,0.0000
04/25/2023 00:00:00,0.0000
04/26/2023 00:00:00,0.0000
04/27/2023 00:00:00,0.0000
04/28/2023 00:00:00,0.0000
04/29/2023 00:00:00,26.1500
04/30/2023 00:00:00,22.4969
05/01/2023 00:00:00,0.0000
05/02/2023 00:00:00,0.0000
05/03/2023 00:00:00,28.7054
05/04/2023 00:00:00,0.0000
05/05/2023 00:00:00,28.8369
05/06/2023 00:00:00,14.6196
05/07/2023 00:00:00,0.0000
05/08/2023 00:00:00,20.2823
05/09/2023 00:00:00,23.0562
05/10/2023 00:00:00,0.0000
05/11/2023 00:00:00,38.9119
05/12/2023 00:00:00,0.0000
05/13/2023 00:00:00,0.0000
05/14/2023 00:00:00,45.8877
05/15/2023 00:00:00,0.0000
05/16/2023 00:00:00,0.0000
05/17/2023 00:00:00,27.4232
05/18/2023 00:00:00,20.9332
05/19/2023 00:00:00,0.0000
05/20/2023 00:00:00,0.0000
05/21/2023 00:00:00,0.0000
05/22/2023 00:00:00,0.0000
05/23/2023 00:00:00,0.0000
05/24/2023 00:00:00,28.6747
05/25/2023 00:00:00,16.6045
05/26/2023 00:00:00,0.0000
05/27/2023 00:00:00,29.2411
05/28/2023 00:00:00,4.5608
05/29/2023 00:00:00,40.1804
05/30/2023 00:00:00,0.0000
