Time Bucket (America/New_York),Emporia Garage-EV (kWhs)
01/01/2024 00:00:00,0.0000
01/01/2024 01:00:00,0.0000
01/01/2024 02:00:00,0.0000
01/01/2024 03:00:00,0.0000
01/01/2024 04:00:00,0.0000
01/01/2024 05:00:00,0.0000
01/01/2024 06:00:00,0.0000
01/01/2024 07:00:00,0.0000
01/01/2024 08:00:00,0.0000
01/01/2024 09:00:00,0.0000
01/01/2024 10:00:00,0.0000
01/01/2024 11:00:00,0.0000
01/01/2024 12:00:00,0.0000
01/01/2024 13:00:00,0.0000
01/01/2024 14:00:00,0.0000
01/01/2024 15:00:00,0.0000
01/01/2024 16:00:00,0.0000
01/01/2024 17:00:00,0.0000
01/01/2024 18:00:00,0.0000
01/01/2024 19:00:00,0.0000
01/01/2024 20:00:00,0.0000
01/01/2024 21:00:00,0.0000
01/01/2024 22:00:00,0.0000
01/01/2024 23:00:00,0.0000
01/02/2024 00:00:00,0.0000
01/02/2024 01:00:00,0.0000
01/02/2024 02:00:00,0.0000
01/02/2024 03:00:00,0.0000
01/02/2024 04:00:00,0.0000
01/02/2024 05:00:00,0.0000
01/02/2024 06:00:00,0.0000
01/02/2024 07:00:00,0.0000
01/02/2024 08:00:00,0.0000
01/02/2024 09:00:00,0.0000
01/02/2024 10:00:00,0.0000
01/02/2024 11:00:00,0.0000
01/02/2024 12:00:00,0.0000
01/02/2024 13:00:00,0.0000
01/02/2024 14:00:00,0.0000
01/02/2024 15:00:00,0.0000
01/02/2024 16:00:00,0.0000
01/02/2024 17:00:00,0.0000
01/02/2024 18:00:00,1.1976
01/02/2024 19:00:00,9.7690
01/02/2024 20:00:00,9.7591
01/02/2024 21:00:00,0.7225
01/02/2024 22:00:00,0.0000
01/02/2024 23:00:00,0.0040
01/03/2024 00:00:00,0.0047
01/03/2024 01:00:00,0.0000
01/03/2024 02:00:00,0.0021
01/03/2024 03:00:00,0.0025
01/03/2024 04:00:00,0.0000
01/03/2024 05:00:00,0.0038
01/03/2024 06:00:00,0.0037
01/03/2024 07:00:00,0.0000
01/03/2024 08:00:00,0.0000
01/03/2024 09:00:00,0.0000
01/03/2024 10:00:00,0.0000
01/03/2024 11:00:00,0.0000
01/03/2024 12:00:00,0.0000
01/03/2024 13:00:00,0.0000
01/03/2024 14:00:00,0.0000
01/03/2024 15:00:00,0.0000
01/03/2024 16:00:00,0.0000
01/03/2024 17:00:00,0.0000
01/03/2024 18:00:00,0.0000
01/03/2024 19:00:00,0.0000
01/03/2024 20:00:00,0.0000
01/03/2024 21:00:00,0.0000
01/03/2024 22:00:00,0.0000
01/03/2024 23:00:00,0.0000
01/04/2024 00:00:00,0.0000
01/04/2024 01:00:00,0.0000
01/04/2024 02:00:00,0.0000
01/04/2024 03:00:00,0.0000
01/04/2024 04:00:00,0.0000
01/04/2024 05:00:00,0.0000
01/04/2024 06:00:00,0.0000
01/04/2024 07:00:00,0.0000
01/04/2024 08:00:00,0.0000
01/04/2024 09:00:00,0.0000
01/04/2024 10:00:00,0.0000
01/04/2024 11:00:00,0.0000
01/04/2024 12:00:00,0.0000
01/04/2024 13:00:00,0.0000
01/04/2024 14:00:00,0.0000
01/04/2024 15:00:00,0.0000
01/04/2024 16:00:00,0.0000
01/04/2024 17:00:00,0.0000
01/04/2024 18:00:00,0.0000
01/04/2024 19:00:00,0.0000
01/04/2024 20:00:00,0.0000
01/04/2024 21:00:00,0.0000
01/04/2024 22:00:00,0.0000
01/04/2024 23:00:00,0.0000
01/05/2024 00:00:00,0.0000
01/05/2024 01:00:00,0.0000
01/05/2024 02:00:00,0.0000
01/05/2024 03:00:00,0.0000
01/05/2024 04:00:00,0.0000
01/05/2024 05:00:00,0.0000
01/05/2024 06:00:00,0.0000
01/05/2024 07:00:00,0.0000
01/05/2024 08:00:00,4.9373
01/05/2024 09:00:00,2.1429
01/05/2024 10:00:00,0.0000
01/05/2024 11:00:00,2.9496
01/05/2024 12:00:00,9.9001
01/05/2024 13:00:00,9.8835
01/05/2024 14:00:00,9.9067
01/05/2024 15:00:00,0.9798
01/05/2024 16:00:00,0.0000
01/05/2024 17:00:00,0.0000
01/05/2024 18:00:00,0.0000
01/05/2024 19:00:00,0.0000
01/05/2024 20:00:00,0.0000
01/05/2024 21:00:00,0.0000
01/05/2024 22:00:00,0.0000
01/05/2024 23:00:00,0.0000
01/06/2024 00:00:00,0.0000
01/06/2024 01:00:00,0.0000
01/06/2024 02:00:00,0.0000
01/06/2024 03:00:00,0.0000
01/06/2024 04:00:00,0.0000
01/06/2024 05:00:00,0.0000
01/06/2024 06:00:00,0.0000
01/06/2024 07:00:00,0.0000
01/06/2024 08:00:00,0.0000
01/06/2024 09:00:00,0.0000
01/06/2024 10:00:00,0.0000
01/06/2024 11:00:00,0.0000
01/06/2024 12:00:00,0.0000
01/06/2024 13:00:00,0.0000
01/06/2024 14:00:00,0.0000
01/06/2024 15:00:00,0.0000
01/06/2024 16:00:00,0.0000
01/06/2024 17:00:00,0.0000
01/06/2024 18:00:00,0.0000
01/06/2024 19:00:00,0.0000
01/06/2024 20:00:00,0.0000
01/06/2024 21:00:00,0.0000
01/06/2024 22:00:00,0.0000
01/06/2024 23:00:00,0.0000
01/07/2024 00:00:00,0.0000
01/07/2024 01:00:00,0.0000
01/07/2024 02:00:00,0.0000
01/07/2024 03:00:00,0.0000
01/07/2024 04:00:00,0.0000
01/07/2024 05:00:00,0.0000
01/07/2024 06:00:00,0.0000
01/07/2024 07:00:00,0.0000
01/07/2024 08:00:00,0.0000
01/07/2024 09:00:00,0.0000
01/07/2024 10:00:00,0.0000
01/07/2024 11:00:00,0.0000
01/07/2024 12:00:00,0.0000
01/07/2024 13:00:00,0.0000
01/07/2024 14:00:00,0.0000
01/07/2024 15:00:00,0.0000
01/07/2024 16:00:00,0.0000
01/07/2024 17:00:00,0.0000
01/07/2024 18:00:00,0.0000
01/07/2024 19:00:00,0.0000
01/07/2024 20:00:00,0.0000
01/07/2024 21:00:00,0.0000
01/07/2024 22:00:00,0.0000
01/07/2024 23:00:00,0.0000
01/08/2024 00:00:00,0.0000
01/08/2024 01:00:00,0.0000
01/08/2024 02:00:00,0.0000
01/08/2024 03:00:00,0.0000
01/08/2024 04:00:00,0.0000
01/08/2024 05:00:00,0.0000
01/08/2024 06:00:00,0.0000
01/08/2024 07:00:00,0.0000
01/08/2024 08:00:00,0.0000
01/08/2024 09:00:00,0.0000
01/08/2024 10:00:00,0.0000
01/08/2024 11:00:00,0.0000
01/08/2024 12:00:00,0.0000
01/08/2024 13:00:00,0.0000
01/08/2024 14:00:00,0.0000
01/08/2024 15:00:00,0.0000
01/08/2024 16:00:00,0.0000
01/08/2024 17:00:00,0.0000
01/08/2024 18:00:00,0.0000
01/08/2024 19:00:00,0.0000
01/08/2024 20:00:00,0.0000
01/08/2024 21:00:00,0.0000
01/08/2024 22:00:00,0.0000
01/08/2024 23:00:00,0.0000
01/09/2024 00:00:00,0.0000
01/09/2024 01:00:00,0.0000
01/09/2024 02:00:00,0.0000
01/09/2024 03:00:00,0.0000
01/09/2024 04:00:00,0.0000
01/09/2024 05:00:00,0.0000
01/09/2024 06:00:00,0.0000
01/09/2024 07:00:00,0.0000
01/09/2024 08:00:00,0.0000
01/09/2024 09:00:00,0.0000
01/09/2024 10:00:00,0.0000
01/09/2024 11:00:00,0.0000
01/09/2024 12:00:00,0.0000
01/09/2024 13:00:00,0.0000
01/09/2024 14:00:00,0.0000
01/09/2024 15:00:00,0.0000
01/09/2024 16:00:00,0.0000
01/09/2024 17:00:00,0.0000
01/09/2024 18:00:00,0.0000
01/09/2024 19:00:00,0.0000
01/09/2024 20:00:00,0.0000
01/09/2024 21:00:00,0.0000
01/09/2024 22:00:00,0.0000
01/09/2024 23:00:00,0.0000
01/10/2024 00:00:00,0.0000
01/10/2024 01:00:00,0.0000
01/10/2024 02:00:00,0.0000
01/10/2024 03:00:00,0.0000
01/10/2024 04:00:00,0.0000
01/10/2024 05:00:00,0.0000
01/10/2024 06:00:00,0.0000
